[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_ArraySet     avgt   20    1.078 ±  0.030  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_BitSet       avgt   20    2.532 ±  0.036  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_JavaHashSet  avgt   20    6.722 ±  0.160  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Set          avgt   20    6.252 ±  0.205  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_SortedSet    avgt   20    8.175 ±  0.109  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_ArraySet            avgt   20    2.839 ±  0.049  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_BitSet              avgt   20    3.433 ±  0.046  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_JavaHashSet         avgt   20   11.121 ±  0.146  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_Set                 avgt   20   60.464 ±  1.366  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_SortedSet           avgt   20  670.098 ± 31.044  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Array               avgt   20   71.583 ±  0.404  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_ArraySet            avgt   20    0.858 ±  0.020  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_BitSet              avgt   20    2.958 ±  0.042  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_JavaHashSet         avgt   20    6.012 ±  0.080  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_Set                 avgt   20    7.597 ±  0.064  us/op
[info] SetBenchmark_Invoice_HalfHit_Small.contains_SortedSet           avgt   20   18.443 ±  0.230  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Array           avgt   20    4.656 ±  0.074  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_ArraySet        avgt   20    0.831 ±  0.018  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_BitSet          avgt   20    2.514 ±  0.027  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_JavaHashSet     avgt   20    5.618 ±  0.060  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_Set             avgt   20    5.558 ±  0.115  us/op
[info] SetBenchmark_Invoice_HalfHit_VerySmall.contains_SortedSet       avgt   20    7.879 ±  0.085  us/op

[info] Benchmark                                                       Mode  Cnt    Score    Error  Units
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_ArraySet         avgt   20    2.471 ±  0.021  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_BitSet           avgt   20    3.433 ±  0.020  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_JavaHashSet      avgt   20   12.092 ±  0.168  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_Set              avgt   20   47.875 ±  0.320  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Large.contains_SortedSet        avgt   20  663.188 ±  9.702  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Array            avgt   20   71.745 ±  1.178  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_ArraySet         avgt   20    0.894 ±  0.014  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_BitSet           avgt   20    3.102 ±  0.051  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_JavaHashSet      avgt   20    6.547 ±  0.116  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_Set              avgt   20    9.302 ±  0.374  us/op
[info] SetBenchmark_BadInvoice_HalfHit_Small.contains_SortedSet        avgt   20   18.907 ±  0.322  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Array        avgt   20    4.627 ±  0.027  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_ArraySet     avgt   20    0.826 ±  0.010  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_BitSet       avgt   20    2.520 ±  0.017  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_JavaHashSet  avgt   20    6.837 ±  0.257  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_Set          avgt   20    6.256 ±  0.132  us/op
[info] SetBenchmark_BadInvoice_HalfHit_VerySmall.contains_SortedSet    avgt   20    7.843 ±  0.049  us/op
[info] SetBenchmark_Invoice_HalfHit_Large.contains_ArraySet            avgt   20    2.822 ±  0.030  us/op
